saray,num
1.25,395
1.75,226
0.9,138
2.0,134
1.5,125
1.15,112
0.7,104
1.0,85
0.8,67
2.25,59
1.5,59
0.8999999999999999,55
2.25,51
1.4,48
1.6,47
2.5,43
0.95,37
1.05,35
0.75,31
2.75,31
0.65,29
0.45,28
3.0,24
1.4,24
2.15,23
1.35,23
2.75,23
1.2,22
1.65,22
0.85,21
1.2000000000000002,21
1.1,21
1.05,21
1.0416666666666667,20
0.6,19
1.75,19
0.75,17
1.3,17
1.85,16
1.4583333333333333,16
1.4,14
3.5,13
1.55,12
3.0,12
0.5,12
1.7999999999999998,11
2.0833333333333335,11
1.05,11
0.8,11
1.1,10
1.45,10
1.55,10
1.85,9
1.65,9
1.0499999999999998,9
1.0,9
1.9,9
1.15,8
1.875,8
1.6,7
1.7000000000000002,7
0.6,7
1.9,7
3.25,7
1.2999999999999998,7
1.1,7
0.7,7
1.1,7
2.0,6
1.6666666666666667,6
1.9500000000000002,6
1.4500000000000002,6
0.85,6
2.0,6
1.9,6
2.5,6
0.9500000000000001,5
3.75,5
1.0,5
1.2,5
1.15,5
1.35,5
0.9500000000000001,5
2.3,5
0.7,5
4.5,4
0.45,4
4.5,4
0.8500000000000001,4
0.35,4
1.3,4
1.35,4
1.4500000000000002,4
2.4,3
2.75,3
1.75,3
2.65,3
3.5,3
0.45,3
1.4500000000000002,3
1.3,3
0.95,3
0.9583333333333334,3
3.75,3
1.7,3
1.95,3
1.25,3
0.75,3
0.75,3
1.2000000000000002,3
4.0,3
2.3,3
1.2000000000000002,3
1.25,3
0.9,3
3.75,3
0.75,2
3.25,2
0.85,2
1.75,2
3.3333333333333335,2
2.7,2
1.6,2
0.4,2
1.5499999999999998,2
0.65,2
1.6666666666666667,2
1.1666666666666667,2
4.0,2
0.55,2
2.4,2
1.8,2
1.65,2
1.7000000000000002,2
2.65,2
1.5,2
1.4,2
0.5416666666666666,2
2.1,2
3.25,2
1.6,2
1.35,2
0.4,2
1.25,2
2.15,2
2.5,2
1.05,2
1.9000000000000001,2
1.35,2
2.05,2
2.6,2
0.55,2
3.4,1
0.8333333333333334,1
2.7083333333333335,1
2.5,1
2.2916666666666665,1
2.8333333333333335,1
6.0,1
0.45,1
6.75,1
1.2916666666666667,1
0.6666666666666666,1
0.5833333333333334,1
5.416666666666667,1
4.583333333333333,1
0.5,1
0.45,1
0.5,1
0.35,1
0.7083333333333334,1
0.55,1
4.166666666666667,1
0.45,1
0.5,1
0.65,1
5.0,1
0.5,1
0.7916666666666666,1
4.25,1
4.375,1
2.9166666666666665,1
0.4,1
0.4,1
0.4,1
3.9,1
0.6,1
0.6499999999999999,1
1.9500000000000002,1
2.85,1
1.8,1
1.5,1
1.7000000000000002,1
1.7999999999999998,1
1.85,1
1.5499999999999998,1
1.75,1
1.8499999999999999,1
1.2999999999999998,1
1.9,1
2.7,1
1.55,1
1.8,1
1.95,1
2.0,1
1.35,1
1.8,1
3.2,1
1.9000000000000001,1
0.8999999999999999,1
1.25,1
1.1,1
1.7999999999999998,1
1.15,1
1.6,1
1.0,1
1.6,1
1.3,1
0.95,1
1.45,1
2.25,1
1.25,1
1.4,1
2.2,1
2.4000000000000004,1
2.55,1
2.3333333333333335,1
1.75,1
1.9583333333333333,1
1.2916666666666667,1
1.4166666666666667,1
1.75,1
1.7083333333333333,1
1.5833333333333333,1
1.7999999999999998,1
1.6666666666666667,1
2.3,1
3.5,1
2.5,1
2.55,1
2.8499999999999996,1
1.5416666666666667,1
1.4583333333333333,1
1.3333333333333333,1
1.0833333333333333,1
1.4583333333333333,1
0.9166666666666666,1
0.875,1
2.45,1
2.2,1
2.55,1
2.5,1
2.25,1
2.1,1
2.05,1
1.85,1
2.1,1
0.8500000000000001,1
